StudentID,ROIKey,Index,Detected,Correct,IsOK,AnswerKey
1456789012347,A01,1,no response,D,No,FSAS - Random 5261
1456789012347,A02,2,D,A,No,FSAS - Random 5261
1456789012347,A03,3,D,A,No,FSAS - Random 5261
1456789012347,A04,4,C,C,Yes,FSAS - Random 5261
1456789012347,A05,5,B,D,No,FSAS - Random 5261
1456789012347,A06,6,A,A,Yes,FSAS - Random 5261
1456789012347,A07,7,A,D,No,FSAS - Random 5261
1456789012347,A08,8,B,A,No,FSAS - Random 5261
1456789012347,A09,9,C,A,No,FSAS - Random 5261
1456789012347,A10,10,C,B,No,FSAS - Random 5261
1456789012347,A11,11,C,B,No,FSAS - Random 5261
1456789012347,A12,12,B,D,No,FSAS - Random 5261
1456789012347,A13,13,C,A,No,FSAS - Random 5261
1456789012347,A14,14,D,D,Yes,FSAS - Random 5261
1456789012347,A15,15,C,B,No,FSAS - Random 5261
1456789012347,A16,16,B,C,No,FSAS - Random 5261
1456789012347,A17,17,"multiple(A,C)",A,No,FSAS - Random 5261
1456789012347,A18,18,B,C,No,FSAS - Random 5261
1456789012347,A19,19,B,B,Yes,FSAS - Random 5261
1456789012347,A20,20,C,A,No,FSAS - Random 5261
1456789012347,B01,21,no response,A,No,FSAS - Random 5261
1456789012347,B02,22,B,A,No,FSAS - Random 5261
1456789012347,B03,23,B,C,No,FSAS - Random 5261
1456789012347,B04,24,C,B,No,FSAS - Random 5261
1456789012347,B05,25,D,A,No,FSAS - Random 5261
1456789012347,B06,26,C,D,No,FSAS - Random 5261
1456789012347,B07,27,B,B,Yes,FSAS - Random 5261
1456789012347,B08,28,"multiple(A,C)",C,No,FSAS - Random 5261
1456789012347,B09,29,B,A,No,FSAS - Random 5261
1456789012347,B10,30,B,B,Yes,FSAS - Random 5261
1456789012347,B11,31,C,A,No,FSAS - Random 5261
1456789012347,B12,32,B,A,No,FSAS - Random 5261
1456789012347,B13,33,A,C,No,FSAS - Random 5261
1456789012347,B14,34,B,D,No,FSAS - Random 5261
1456789012347,B15,35,C,B,No,FSAS - Random 5261
1456789012347,B16,36,B,B,Yes,FSAS - Random 5261
1456789012347,B17,37,no response,B,No,FSAS - Random 5261
1456789012347,B18,38,no response,D,No,FSAS - Random 5261
1456789012347,B19,39,no response,B,No,FSAS - Random 5261
1456789012347,B20,40,no response,B,No,FSAS - Random 5261
1456789012347,C01,41,no response,C,No,FSAS - Random 5261
1456789012347,C02,42,B,A,No,FSAS - Random 5261
1456789012347,C03,43,C,A,No,FSAS - Random 5261
1456789012347,C04,44,B,D,No,FSAS - Random 5261
1456789012347,C05,45,A,B,No,FSAS - Random 5261
1456789012347,C06,46,C,N/A,No,FSAS - Random 5261
1456789012347,C07,47,B,N/A,No,FSAS - Random 5261
1456789012347,C08,48,B,N/A,No,FSAS - Random 5261
1456789012347,C09,49,A,N/A,No,FSAS - Random 5261
1456789012347,C10,50,C,N/A,No,FSAS - Random 5261
1456789012347,C11,51,"multiple(B,D)",N/A,No,FSAS - Random 5261
1456789012347,C12,52,no response,N/A,No,FSAS - Random 5261
1456789012347,C13,53,no response,N/A,No,FSAS - Random 5261
1456789012347,C14,54,no response,N/A,No,FSAS - Random 5261
1456789012347,C15,55,no response,N/A,No,FSAS - Random 5261
1456789012347,C16,56,no response,N/A,No,FSAS - Random 5261
1456789012347,C17,57,no response,N/A,No,FSAS - Random 5261
1456789012347,C18,58,no response,N/A,No,FSAS - Random 5261
1456789012347,C19,59,no response,N/A,No,FSAS - Random 5261
1456789012347,C20,60,no response,N/A,No,FSAS - Random 5261
