StudentID,ROIKey,Index,Detected,Correct,IsOK,AnswerKey
2345678901234,A01,1,no response,D,No,FSAS - Random 5261
2345678901234,A02,2,D,A,No,FSAS - Random 5261
2345678901234,A03,3,C,A,No,FSAS - Random 5261
2345678901234,A04,4,D,C,No,FSAS - Random 5261
2345678901234,A05,5,C,D,No,FSAS - Random 5261
2345678901234,A06,6,B,A,No,FSAS - Random 5261
2345678901234,A07,7,C,D,No,FSAS - Random 5261
2345678901234,A08,8,D,A,No,FSAS - Random 5261
2345678901234,A09,9,no response,A,No,FSAS - Random 5261
2345678901234,A10,10,B,B,Yes,FSAS - Random 5261
2345678901234,A11,11,B,B,Yes,FSAS - Random 5261
2345678901234,A12,12,B,D,No,FSAS - Random 5261
2345678901234,A13,13,C,A,No,FSAS - Random 5261
2345678901234,A14,14,D,D,Yes,FSAS - Random 5261
2345678901234,A15,15,no response,B,No,FSAS - Random 5261
2345678901234,A16,16,D,C,No,FSAS - Random 5261
2345678901234,A17,17,C,A,No,FSAS - Random 5261
2345678901234,A18,18,B,C,No,FSAS - Random 5261
2345678901234,A19,19,C,B,No,FSAS - Random 5261
2345678901234,A20,20,D,A,No,FSAS - Random 5261
2345678901234,B01,21,A,A,Yes,FSAS - Random 5261
2345678901234,B02,22,B,A,No,FSAS - Random 5261
2345678901234,B03,23,B,C,No,FSAS - Random 5261
2345678901234,B04,24,B,B,Yes,FSAS - Random 5261
2345678901234,B05,25,A,A,Yes,FSAS - Random 5261
2345678901234,B06,26,A,D,No,FSAS - Random 5261
2345678901234,B07,27,A,B,No,FSAS - Random 5261
2345678901234,B08,28,B,C,No,FSAS - Random 5261
2345678901234,B09,29,B,A,No,FSAS - Random 5261
2345678901234,B10,30,C,B,No,FSAS - Random 5261
2345678901234,B11,31,B,A,No,FSAS - Random 5261
2345678901234,B12,32,C,A,No,FSAS - Random 5261
2345678901234,B13,33,D,C,No,FSAS - Random 5261
2345678901234,B14,34,C,D,No,FSAS - Random 5261
2345678901234,B15,35,B,B,Yes,FSAS - Random 5261
2345678901234,C01,36,C,B,No,FSAS - Random 5261
2345678901234,C02,37,A,B,No,FSAS - Random 5261
2345678901234,C03,38,B,D,No,FSAS - Random 5261
2345678901234,C04,39,C,B,No,FSAS - Random 5261
2345678901234,C05,40,B,B,Yes,FSAS - Random 5261
2345678901234,C06,41,A,C,No,FSAS - Random 5261
2345678901234,C07,42,C,A,No,FSAS - Random 5261
2345678901234,C08,43,B,A,No,FSAS - Random 5261
2345678901234,C09,44,B,D,No,FSAS - Random 5261
2345678901234,C10,45,C,B,No,FSAS - Random 5261
