StudentID,ROIKey,Index,Detected,Correct,IsOK,AnswerKey
2345678901234,A01,1,no response,D,No,FSAS - Random 5261
2345678901234,A02,2,no response,A,No,FSAS - Random 5261
2345678901234,A03,3,D,A,No,FSAS - Random 5261
2345678901234,A04,4,C,C,Yes,FSAS - Random 5261
2345678901234,A05,5,D,D,Yes,FSAS - Random 5261
2345678901234,A06,6,C,A,No,FSAS - Random 5261
2345678901234,A07,7,B,D,No,FSAS - Random 5261
2345678901234,A08,8,C,A,No,FSAS - Random 5261
2345678901234,A09,9,D,A,No,FSAS - Random 5261
2345678901234,A10,10,no response,B,No,FSAS - Random 5261
2345678901234,A11,11,B,B,Yes,FSAS - Random 5261
2345678901234,A12,12,B,D,No,FSAS - Random 5261
2345678901234,A13,13,B,A,No,FSAS - Random 5261
2345678901234,A14,14,C,D,No,FSAS - Random 5261
2345678901234,A15,15,D,B,No,FSAS - Random 5261
2345678901234,A16,16,no response,C,No,FSAS - Random 5261
2345678901234,A17,17,D,A,No,FSAS - Random 5261
2345678901234,A18,18,C,C,Yes,FSAS - Random 5261
2345678901234,A19,19,B,B,Yes,FSAS - Random 5261
2345678901234,A20,20,C,A,No,FSAS - Random 5261
