StudentID,ROIKey,Index,Detected,Correct,IsOK,AnswerKey
2456789012346,A01,1,no response,D,No,FSAS - Random 5261
2456789012346,A02,2,D,A,No,FSAS - Random 5261
2456789012346,A03,3,C,A,No,FSAS - Random 5261
2456789012346,A04,4,B,C,No,FSAS - Random 5261
2456789012346,A05,5,C,D,No,FSAS - Random 5261
2456789012346,A06,6,D,A,No,FSAS - Random 5261
2456789012346,A07,7,C,D,No,FSAS - Random 5261
2456789012346,A08,8,B,A,No,FSAS - Random 5261
2456789012346,A09,9,C,A,No,FSAS - Random 5261
2456789012346,A10,10,D,B,No,FSAS - Random 5261
2456789012346,A11,11,C,B,No,FSAS - Random 5261
2456789012346,A12,12,B,D,No,FSAS - Random 5261
2456789012346,A13,13,A,A,Yes,FSAS - Random 5261
2456789012346,A14,14,A,D,No,FSAS - Random 5261
2456789012346,A15,15,B,B,Yes,FSAS - Random 5261
2456789012346,A16,16,C,C,Yes,FSAS - Random 5261
2456789012346,A17,17,B,A,No,FSAS - Random 5261
2456789012346,A18,18,C,C,Yes,FSAS - Random 5261
2456789012346,A19,19,B,B,Yes,FSAS - Random 5261
2456789012346,A20,20,C,A,No,FSAS - Random 5261
2456789012346,B01,21,no response,A,No,FSAS - Random 5261
2456789012346,B02,22,B,A,No,FSAS - Random 5261
2456789012346,B03,23,C,C,Yes,FSAS - Random 5261
2456789012346,B04,24,D,B,No,FSAS - Random 5261
2456789012346,B05,25,C,A,No,FSAS - Random 5261
2456789012346,B06,26,B,D,No,FSAS - Random 5261
2456789012346,B07,27,A,B,No,FSAS - Random 5261
2456789012346,B08,28,B,C,No,FSAS - Random 5261
2456789012346,B09,29,C,A,No,FSAS - Random 5261
2456789012346,B10,30,B,B,Yes,FSAS - Random 5261
2456789012346,B11,31,"multiple(A,C)",A,No,FSAS - Random 5261
2456789012346,B12,32,D,A,No,FSAS - Random 5261
2456789012346,B13,33,B,C,No,FSAS - Random 5261
2456789012346,B14,34,A,D,No,FSAS - Random 5261
2456789012346,B15,35,A,B,No,FSAS - Random 5261
2456789012346,B16,36,C,B,No,FSAS - Random 5261
2456789012346,B17,37,no response,B,No,FSAS - Random 5261
2456789012346,B18,38,no response,D,No,FSAS - Random 5261
2456789012346,B19,39,no response,B,No,FSAS - Random 5261
2456789012346,B20,40,no response,B,No,FSAS - Random 5261
2456789012346,C01,41,C,C,Yes,FSAS - Random 5261
2456789012346,C02,42,B,A,No,FSAS - Random 5261
2456789012346,C03,43,A,A,Yes,FSAS - Random 5261
2456789012346,C04,44,B,D,No,FSAS - Random 5261
2456789012346,C05,45,C,B,No,FSAS - Random 5261
2456789012346,C06,46,D,N/A,No,FSAS - Random 5261
2456789012346,C07,47,C,N/A,No,FSAS - Random 5261
2456789012346,C08,48,D,N/A,No,FSAS - Random 5261
2456789012346,C09,49,B,N/A,No,FSAS - Random 5261
2456789012346,C10,50,A,N/A,No,FSAS - Random 5261
2456789012346,C11,51,B,N/A,No,FSAS - Random 5261
2456789012346,C12,52,no response,N/A,No,FSAS - Random 5261
2456789012346,C13,53,no response,N/A,No,FSAS - Random 5261
2456789012346,C14,54,no response,N/A,No,FSAS - Random 5261
2456789012346,C15,55,no response,N/A,No,FSAS - Random 5261
2456789012346,C16,56,no response,N/A,No,FSAS - Random 5261
2456789012346,C17,57,no response,N/A,No,FSAS - Random 5261
2456789012346,C18,58,no response,N/A,No,FSAS - Random 5261
2456789012346,C19,59,no response,N/A,No,FSAS - Random 5261
2456789012346,C20,60,no response,N/A,No,FSAS - Random 5261
