StudentID,ROIKey,Index,Detected,Correct,IsOK,AnswerKey
c__Users_Andrei_Vitan_AppData_Roaming_Cursor_User_workspaceStorage_empty-window_images_1779442798018-4a7e93ec-9292-4959-be03-99003572f9e4_1-95390d5e-2fb6-43d5-b72b-df20da432748,A01,1,D,B,No,FINALIZARE - Random 4675
c__Users_Andrei_Vitan_AppData_Roaming_Cursor_User_workspaceStorage_empty-window_images_1779442798018-4a7e93ec-9292-4959-be03-99003572f9e4_1-95390d5e-2fb6-43d5-b72b-df20da432748,A02,2,C,C,Yes,FINALIZARE - Random 4675
c__Users_Andrei_Vitan_AppData_Roaming_Cursor_User_workspaceStorage_empty-window_images_1779442798018-4a7e93ec-9292-4959-be03-99003572f9e4_1-95390d5e-2fb6-43d5-b72b-df20da432748,A03,3,no response,D,No,FINALIZARE - Random 4675
c__Users_Andrei_Vitan_AppData_Roaming_Cursor_User_workspaceStorage_empty-window_images_1779442798018-4a7e93ec-9292-4959-be03-99003572f9e4_1-95390d5e-2fb6-43d5-b72b-df20da432748,A04,4,no response,D,No,FINALIZARE - Random 4675
c__Users_Andrei_Vitan_AppData_Roaming_Cursor_User_workspaceStorage_empty-window_images_1779442798018-4a7e93ec-9292-4959-be03-99003572f9e4_1-95390d5e-2fb6-43d5-b72b-df20da432748,A05,5,D,D,Yes,FINALIZARE - Random 4675
c__Users_Andrei_Vitan_AppData_Roaming_Cursor_User_workspaceStorage_empty-window_images_1779442798018-4a7e93ec-9292-4959-be03-99003572f9e4_1-95390d5e-2fb6-43d5-b72b-df20da432748,A06,6,D,C,No,FINALIZARE - Random 4675
c__Users_Andrei_Vitan_AppData_Roaming_Cursor_User_workspaceStorage_empty-window_images_1779442798018-4a7e93ec-9292-4959-be03-99003572f9e4_1-95390d5e-2fb6-43d5-b72b-df20da432748,A07,7,no response,C,No,FINALIZARE - Random 4675
c__Users_Andrei_Vitan_AppData_Roaming_Cursor_User_workspaceStorage_empty-window_images_1779442798018-4a7e93ec-9292-4959-be03-99003572f9e4_1-95390d5e-2fb6-43d5-b72b-df20da432748,A08,8,D,B,No,FINALIZARE - Random 4675
c__Users_Andrei_Vitan_AppData_Roaming_Cursor_User_workspaceStorage_empty-window_images_1779442798018-4a7e93ec-9292-4959-be03-99003572f9e4_1-95390d5e-2fb6-43d5-b72b-df20da432748,A09,9,C,A,No,FINALIZARE - Random 4675
c__Users_Andrei_Vitan_AppData_Roaming_Cursor_User_workspaceStorage_empty-window_images_1779442798018-4a7e93ec-9292-4959-be03-99003572f9e4_1-95390d5e-2fb6-43d5-b72b-df20da432748,A10,10,no response,A,No,FINALIZARE - Random 4675
